config,mean_dt,std_dt,gt_40m,sawtooth,pct_H9plus,bitsq_profile_correlation,total_blocks,robustness
M1_current_slew1_cap8,601.78575,808.1301753168218,52.1,0,0.0,0.78979,2000,1.0140144983075032
M1_reference_slew3_cap8,604.054,1684.286164597505,50.2,67.7,0.20500000000000002,0.6641,2000,6.375308192986083
M2_slew1_cap8,601.78575,808.1301753168218,52.1,0,0.0,0.78979,2000,1.0140144983075032
M2_slew1_nobitsq,601.94035,777.5374219709117,50.7,0,0.0,0.0,2000,1.3885110740565851
M2_slew3_cap8,604.054,1684.286164597505,50.2,67.7,0.20500000000000002,0.6641,2000,6.375308192986083
M2_slew3_nobitsq,603.9074,1653.0769994500997,50.1,61.2,0.175,0.0,2000,5.389847971469662
M3_slew1_capcurrent_12pct,601.78575,808.1301753168218,52.1,0,0.0,0.78979,2000,1.0140144983075032
M3_slew1_caploose_25pct,601.7857,808.1335217943113,52.1,0,0.0,0.77662,2000,1.0140482456197448
M3_slew1_captight_6pct,601.8435,804.5275606184109,52.2,0,0.0,0.79471,2000,1.012845057800619
M3_slew1_capuncapped,601.7857,808.1335611917452,52.1,0,0.0,0.77626,2000,1.0140482456197448
M3_slew3_capcurrent_12pct,604.054,1684.286164597505,50.2,67.7,0.20500000000000002,0.6641,2000,6.375308192986083
M3_slew3_caploose_25pct,602.41535,1532.130910834922,51,69.5,0.20500000000000002,0.6014700000000001,2000,2.710202401728185
M3_slew3_captight_6pct,603.2634,1713.2635558381317,49.9,68.9,0.205,0.72546,2000,6.208578405901158
M3_slew3_capuncapped,602.41525,1527.1038017534022,50.9,69.5,0.20500000000000002,0.57466,2000,2.7099255037936074
