scenario,n_runs,blocks_per_run,mean_dt_s,median_dt_s,std_dt_s,p95_dt_s,p99_dt_s,avg_over_20m,avg_over_40m,avg_over_60m,avg_antistall,sawtooth_score,avg_max_consec_b0,avg_max_consec_h9plus,pct_E4,pct_E3,pct_E2,pct_E1,pct_B0,pct_H1,pct_H2,pct_H3,pct_H4,pct_H5,pct_H6,pct_H7,pct_H8,pct_H9,pct_H10,pct_H11,pct_H12
"S0: Simulator baseline (uniform, sim PID+diff)",10,2000,600.7,394.4,675.7,1866.0,3180.7,263.0,47.1,12.0,9.4,0.3650,11.2,0.0,0.09,1.65,9.21,24.45,48.53,9.32,4.75,1.71,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"S1: Concentrated (sim PID+diff, no shocks)",10,2000,600.4,388.3,665.8,1873.1,3032.7,272.8,47.5,10.5,7.4,0.3629,10.0,0.0,0.18,1.81,9.06,25.73,49.15,8.33,4.21,1.30,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S2: Concentrated + realistic diff (sim PID),10,2000,599.8,398.2,622.5,1856.0,2880.9,276.9,41.9,6.1,3.4,0.3678,10.4,0.0,0.20,1.92,8.49,23.07,44.48,12.02,6.91,2.38,0.45,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S3: Real PID + sim diff (concentrated),10,2000,608.0,348.9,1404.6,1797.5,3473.7,242.2,48.3,17.9,13.9,0.2295,27.0,1.1,5.44,16.62,3.92,1.52,69.83,0.00,0.00,1.81,0.00,0.00,0.74,0.00,0.00,0.10,0.01,0.00,0.00
S4: Real PID + realistic diff (concentrated),10,2000,601.1,379.8,712.6,1881.5,3282.0,269.3,50.5,14.4,10.5,0.2481,23.9,3.0,2.46,15.91,1.15,2.10,72.16,0.00,0.01,3.10,0.00,0.01,1.73,0.06,0.04,0.93,0.28,0.05,0.01
S5: Real PID + real diff + top miner drops 2h,10,2000,601.7,378.4,730.4,1877.1,3326.2,265.7,48.9,14.8,10.3,0.2488,25.1,3.2,2.50,16.02,1.71,2.10,71.69,0.00,0.01,2.96,0.00,0.01,1.71,0.03,0.03,0.85,0.31,0.07,0.01
S6: Real PID + real diff + top-2 drop 3h,10,2000,601.2,379.1,716.4,1866.3,3252.5,272.6,48.2,14.1,10.8,0.2488,25.6,3.5,2.56,16.18,1.48,2.10,72.12,0.00,0.01,2.66,0.00,0.01,1.57,0.06,0.03,0.82,0.29,0.07,0.03
S7: Real PID + real diff + staggered recovery,10,2000,601.1,380.9,720.3,1876.3,3305.1,267.7,48.2,14.8,10.7,0.2499,26.0,3.1,2.65,15.88,2.17,2.12,71.32,0.00,0.01,2.96,0.00,0.01,1.72,0.03,0.02,0.82,0.22,0.06,0.01
S8: Real PID + real diff + lag+20 (no shock),10,2000,607.2,382.1,736.8,1899.1,3322.8,273.7,51.9,15.6,11.8,0.2501,23.0,3.7,2.48,15.76,1.34,2.13,71.31,0.07,0.21,3.05,0.04,0.21,1.80,0.09,0.13,0.94,0.32,0.07,0.04
S9: Real PID + real diff + lag+20 + shock,10,2000,607.4,379.9,739.6,1904.7,3364.6,271.8,51.7,15.9,11.5,0.2512,24.3,4.2,2.49,15.93,2.16,2.04,70.50,0.07,0.20,2.91,0.04,0.20,1.81,0.08,0.13,0.90,0.39,0.11,0.04
"S10: Immediate-drop (real PID+diff, lag+20, shock)",10,2000,607.4,379.9,739.6,1904.7,3364.6,271.8,51.7,15.9,11.5,0.2512,24.3,4.2,2.49,15.93,2.16,2.04,70.50,0.07,0.20,2.91,0.04,0.20,1.81,0.08,0.13,0.90,0.39,0.11,0.04
