miner_count,mode,total_hash_kh,mean,median,std,p95,p99,blocks_gt_20m,blocks_gt_40m,blocks_gt_60m,sawtooth,antistall,prof_B0,prof_E1,prof_E2,prof_E3,prof_E4,prof_H1,prof_H10,prof_H11,prof_H12,prof_H2,prof_H3,prof_H4,prof_H5,prof_H6,prof_H7,prof_H8,prof_H9
26,uniform,1.3,600.3651,394.3,675.0448345747639,1866.7,3182.4,262.1,47.3,11.8,0.0,11.9,974.4,487.5,184.4,33.8,1.7,183.9,0,0,0,95.0,33.8,4.9,0.6,0,0,0,0
26,concentrated,1.3,599.8533,390.85,664.0790628965058,1850.6,3074.4,268.1,46.7,10.7,0.0,10.7,992.6,509.0,176.1,35.9,2.5,171.5,0,0,0,80.7,27.5,3.7,0.5,0,0,0,0
52,uniform,2.6,598.00935,369.35,742.4702520630913,1895.4,3455.8,256.3,55.2,16.6,0.0,16.6,141.2,13.2,1.1,0,0,431.4,0,0,0,660.9,487.7,196.8,55.7,10.6,1.4,0,0
52,concentrated,2.6,597.5061499999999,369.05,728.8976923087947,1901.4,3389.3,262.5,54.2,15.5,0.0,15.5,142.7,13.9,1.2,0,0,449.3,0,0,0,662.9,479.2,195.4,46.6,7.9,0.9,0,0
104,uniform,5.2,596.0559999999999,347.05,811.2380491035484,1971.9,3829.2,254.9,63.5,23.6,15.0,23.7,7.2,0.3,0,0,0,19.8,0,0,0,144.1,487.3,670.9,447.4,170.8,44.4,6.9,0.9
104,concentrated,5.2,595.8001,347.1,809.9916277612248,1945.9,3797.4,258.6,62.8,23.6,9.7,23.7,8.9,0.7,0,0,0,22.4,0,0,0,147.3,501.0,670.0,438.3,166.9,39.0,5.0,0.5
208,uniform,10.4,593.8503,329.45,844.0913933927053,2019.6,3872.6,260.2,66.2,24.3,92.6,24.3,3.6,0.2,0.1,0,0,1.9,0.1,0,0,8.5,53.8,282.2,612.9,606.6,315.8,95.9,18.4
208,concentrated,10.4,593.9489,327.95,837.7693699509404,2008.6,3974.4,257.4,68.3,24.8,88.7,24.9,2.8,0,0,0,0,1.9,0,0,0,11.2,59.7,290.3,624.0,606.2,299.0,88.5,16.4
416,uniform,20.8,592.19595,328.4,819.0308358669811,2048.8,3931.0,257.3,69.8,25.0,13.1,25.1,2.1,0,0,0,0,0,5.2,0.1,0,3.0,7.1,17.2,144.8,486.0,646.1,493.7,194.7
416,concentrated,20.8,592.1228500000001,325.4,833.8038859515091,2033.2,4068.5,258.5,71.4,26.6,9.1,26.6,2.0,0,0,0,0,0.3,4.7,0,0,2.3,6.9,25.0,148.8,506.8,650.6,468.0,184.6
832,uniform,41.6,590.996,314.65,880.9756771473064,2052.0,3939.9,260.1,71.0,25.1,3.5,25.2,4.4,0.1,0.5,0.4,0.2,0,144.3,5.5,0.1,1.3,4.4,5.6,11.0,83.4,336.2,681.4,721.2
832,concentrated,41.6,590.22245,309.3,891.0511218233441,2031.8,4232.4,254.0,69.9,28.3,7.0,28.3,2.8,0,0,0,0,0,124.0,5.2,0,1.2,5.5,7.4,14.4,88.3,345.0,699.8,706.4
1664,uniform,83.2,592.0959,283.4,1077.0733373763403,2131.8,4659.9,252.4,79.4,34.4,10.6,34.4,5.2,0.2,0.4,0,1.1,0,605.4,103.5,3.5,0.3,4.7,5.8,8.7,18.1,85.4,356.8,800.9
1664,concentrated,83.2,589.4497,277.8,1111.788282373327,2111.4,4641.6,249.7,77.7,32.7,20.6,32.7,7.6,0.2,1.0,1.0,2.4,0,590.5,92.1,3.3,0.5,5.5,9.7,12.9,19.5,89.0,363.4,801.4
3328,uniform,166.4,589.2508,244.05,1187.9574461044497,2204.5,5180.3,245.8,85.6,39.5,9.7,39.5,3.9,0,0.5,0.2,0,0,802.8,437.9,44.2,0,3.3,5.5,8.7,14.5,29.1,156.4,493.0
3328,concentrated,166.4,588.91245,241.45,1215.474906987404,2194.6,5378.2,239.4,85.0,39.1,12.1,39.1,4.7,0.1,0.5,0.5,0.3,0,807.5,420.1,38.5,0,3.4,6.2,8.8,18.0,30.1,161.8,499.5
