rank,K_L,K_I,K_B,K_R,K_V,I_leak,slew_rate,score,mean_dt,median_dt,std_dt,p95_dt,p99_dt,gt_20m,gt_40m,gt_60m,pct_H9plus,pct_E,pct_B0,sawtooth,antistall_count,target_error,lag_amplitude,robustness,total_blocks
1,0.25,0.05,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
2,0.3,0.0,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
3,0.3,0.05,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
4,0.35,0.0,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
5,0.4,0.0,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
6,0.45,0.0,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
7,0.5,0.0,0.0,0.05,0.02,0.988,1,-9.7659,603.1544,388.1,756.1485,1861.4,3463.2,131.4,23,8,0.0,24.4,67.46,0,0,3.1544,4.5917,1.4657,1000
8,0.5,0.05,0.0,0.05,0.02,0.988,1,-9.8861,604.3114,387.9,782.4739,1869.8,3477,130.6,22.8,8,0.0,24.74,67.1,0,0,4.3114,4.7011,3.5587,1000
9,0.35,0.05,0.0,0.05,0.02,0.988,1,-9.8864,604.3146,387.9,782.4719,1869.8,3477,130.6,22.8,8,0.0,24.74,67.1,0,0,4.3146,4.7014,3.5654,1000
10,0.4,0.05,0.0,0.05,0.02,0.988,1,-9.8864,604.3146,387.9,782.4719,1869.8,3477,130.6,22.8,8,0.0,24.74,67.1,0,0,4.3146,4.7014,3.5654,1000
11,0.45,0.05,0.0,0.05,0.02,0.988,1,-9.8864,604.3146,387.9,782.4719,1869.8,3477,130.6,22.8,8,0.0,24.74,67.1,0,0,4.3146,4.7014,3.5654,1000
12,0.25,0.2,0.0,0.05,0.02,0.988,1,-9.8892,604.265,388.0,782.8899,1873.6,3477,130.4,22.8,8,0.0,24.82,67.04,0,0,4.265,4.7158,3.6076,1000
13,0.3,0.2,0.0,0.05,0.02,0.988,1,-9.8892,604.265,388.0,782.8899,1873.6,3477,130.4,22.8,8,0.0,24.82,67.04,0,0,4.265,4.7158,3.6076,1000
14,0.35,0.2,0.0,0.05,0.02,0.988,1,-9.8892,604.265,388.0,782.8899,1873.6,3477,130.4,22.8,8,0.0,24.82,67.04,0,0,4.265,4.7158,3.6076,1000
15,0.4,0.2,0.0,0.05,0.02,0.988,1,-9.8892,604.265,388.0,782.8899,1873.6,3477,130.4,22.8,8,0.0,24.82,67.04,0,0,4.265,4.7158,3.6076,1000
16,0.45,0.2,0.0,0.05,0.02,0.988,1,-9.8892,604.265,388.0,782.8899,1873.6,3477,130.4,22.8,8,0.0,24.82,67.04,0,0,4.265,4.7158,3.6076,1000
17,0.5,0.2,0.0,0.05,0.02,0.988,1,-9.8892,604.265,388.0,782.8899,1873.6,3477,130.4,22.8,8,0.0,24.82,67.04,0,0,4.265,4.7158,3.6076,1000
18,0.25,0.2,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
19,0.3,0.2,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
20,0.35,0.2,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
21,0.4,0.2,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
22,0.45,0.2,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
23,0.5,0.15,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
24,0.5,0.2,0.02,0.05,0.02,0.988,1,-10.0574,604.159,387.0,738.7801,1886.8,3481,129.6,23.8,8.4,0.0,25.52,66.02,0,0,4.159,4.3828,3.9093,1000
25,0.25,0.0,0.02,0.05,0.02,0.988,1,-10.0828,603.717,388.6,731.4065,1888.4,3461.8,129.6,24,8.4,0.0,25.28,66.2,0,0,3.717,4.428,3.9012,1000
26,0.3,0.0,0.02,0.05,0.02,0.988,1,-10.0828,603.717,388.6,731.4065,1888.4,3461.8,129.6,24,8.4,0.0,25.28,66.2,0,0,3.717,4.428,3.9012,1000
27,0.35,0.0,0.02,0.05,0.02,0.988,1,-10.0828,603.717,388.6,731.4065,1888.4,3461.8,129.6,24,8.4,0.0,25.28,66.2,0,0,3.717,4.428,3.9012,1000
28,0.4,0.0,0.02,0.05,0.02,0.988,1,-10.0828,603.717,388.6,731.4065,1888.4,3461.8,129.6,24,8.4,0.0,25.28,66.2,0,0,3.717,4.428,3.9012,1000
29,0.45,0.0,0.02,0.05,0.02,0.988,1,-10.0828,603.717,388.6,731.4065,1888.4,3461.8,129.6,24,8.4,0.0,25.28,66.2,0,0,3.717,4.428,3.9012,1000
30,0.5,0.0,0.02,0.05,0.02,0.988,1,-10.0828,603.717,388.6,731.4065,1888.4,3461.8,129.6,24,8.4,0.0,25.28,66.2,0,0,3.717,4.428,3.9012,1000
31,0.43,0.13,0.0,0.05,0.02,0.98,1,-10.2197,602.0109,385.25,731.3783,1876.6,3299.6,261.9,49.6,15.5,0.0,25.515,66.93,0,0,2.1146,4.6492,1.5417,2000
32,0.44,0.13,0.0,0.05,0.02,0.98,1,-10.2197,602.0109,385.25,731.3783,1876.6,3299.6,261.9,49.6,15.5,0.0,25.515,66.93,0,0,2.1146,4.6492,1.5417,2000
33,0.45,0.13,0.0,0.05,0.02,0.98,1,-10.2197,602.0109,385.25,731.3783,1876.6,3299.6,261.9,49.6,15.5,0.0,25.515,66.93,0,0,2.1146,4.6492,1.5417,2000
34,0.46,0.13,0.0,0.05,0.02,0.98,1,-10.2197,602.0109,385.25,731.3783,1876.6,3299.6,261.9,49.6,15.5,0.0,25.515,66.93,0,0,2.1146,4.6492,1.5417,2000
35,0.47,0.13,0.0,0.05,0.02,0.98,1,-10.2198,602.0108,385.25,731.3784,1876.6,3299.6,261.9,49.6,15.5,0.0,25.52,66.925,0,0,2.1145,4.6492,1.5417,2000
36,0.48,0.13,0.0,0.05,0.02,0.98,1,-10.2198,602.0108,385.25,731.3784,1876.6,3299.6,261.9,49.6,15.5,0.0,25.52,66.925,0,0,2.1145,4.6492,1.5417,2000
37,0.49,0.13,0.0,0.05,0.02,0.98,1,-10.2198,602.0108,385.25,731.3784,1876.6,3299.6,261.9,49.6,15.5,0.0,25.52,66.925,0,0,2.1145,4.6492,1.5417,2000
38,0.5,0.13,0.0,0.05,0.02,0.98,1,-10.2198,602.0108,385.25,731.3784,1876.6,3299.6,261.9,49.6,15.5,0.0,25.52,66.925,0,0,2.1145,4.6492,1.5417,2000
39,0.51,0.13,0.0,0.05,0.02,0.98,1,-10.2198,602.0108,385.25,731.3784,1876.6,3299.6,261.9,49.6,15.5,0.0,25.52,66.925,0,0,2.1145,4.6492,1.5417,2000
40,0.52,0.13,0.0,0.05,0.02,0.98,1,-10.2198,602.0108,385.25,731.3784,1876.6,3299.6,261.9,49.6,15.5,0.0,25.52,66.925,0,0,2.1145,4.6492,1.5417,2000
41,0.25,0.2,0.05,0.05,0.02,0.988,1,-10.2597,603.305,385.0,740.6929,1878.2,3575.2,130.8,24.4,9,0.0,27.86,62.74,0,0,3.305,4.1061,4.1111,1000
42,0.3,0.2,0.05,0.05,0.02,0.988,1,-10.2597,603.305,385.0,740.6929,1878.2,3575.2,130.8,24.4,9,0.0,27.86,62.74,0,0,3.305,4.1061,4.1111,1000
43,0.35,0.2,0.05,0.05,0.02,0.988,1,-10.2597,603.305,385.0,740.6929,1878.2,3575.2,130.8,24.4,9,0.0,27.86,62.74,0,0,3.305,4.1061,4.1111,1000
44,0.4,0.2,0.05,0.05,0.02,0.988,1,-10.2597,603.305,385.0,740.6929,1878.2,3575.2,130.8,24.4,9,0.0,27.86,62.74,0,0,3.305,4.1061,4.1111,1000
45,0.45,0.2,0.05,0.05,0.02,0.988,1,-10.2597,603.305,385.0,740.6929,1878.2,3575.2,130.8,24.4,9,0.0,27.86,62.74,0,0,3.305,4.1061,4.1111,1000
46,0.5,0.2,0.05,0.05,0.02,0.988,1,-10.2597,603.305,385.0,740.6929,1878.2,3575.2,130.8,24.4,9,0.0,27.86,62.74,0,0,3.305,4.1061,4.1111,1000
47,0.23,0.04,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
48,0.23,0.05,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
49,0.23,0.06,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
50,0.24,0.04,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
51,0.23,0.07,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
52,0.24,0.05,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
53,0.24,0.06,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
54,0.24,0.07,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
55,0.25,0.04,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
56,0.25,0.05,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
57,0.25,0.06,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
58,0.25,0.07,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
59,0.26,0.05,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
60,0.26,0.04,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
61,0.26,0.06,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
62,0.26,0.07,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
63,0.27,0.04,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
64,0.27,0.05,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
65,0.27,0.06,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
66,0.27,0.07,0.0,0.05,0.02,0.98,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
67,0.23,0.04,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
68,0.23,0.05,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
69,0.23,0.07,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
70,0.23,0.06,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
71,0.24,0.04,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
72,0.24,0.06,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
73,0.24,0.05,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
74,0.24,0.07,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
75,0.25,0.04,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
76,0.25,0.06,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
77,0.25,0.05,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
78,0.25,0.07,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
79,0.26,0.04,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
80,0.26,0.05,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
81,0.26,0.06,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
82,0.26,0.07,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
83,0.27,0.04,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
84,0.27,0.05,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
85,0.27,0.07,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
86,0.27,0.06,0.0,0.05,0.02,0.985,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
87,0.23,0.04,0.0,0.05,0.02,0.988,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
88,0.23,0.05,0.0,0.05,0.02,0.988,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
89,0.23,0.06,0.0,0.05,0.02,0.988,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
90,0.23,0.07,0.0,0.05,0.02,0.988,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
91,0.24,0.05,0.0,0.05,0.02,0.988,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
92,0.24,0.04,0.0,0.05,0.02,0.988,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
