height,dt,profile_index,profile_name,stability_pct,lag,final_lag,bitsq,bitsq_float,hashrate_kh
5000,14,0,B0,100.0,0,1,765730,11.684,1.354
5001,169,0,B0,100.0,1,2,769328,11.739,1.212
5002,677,0,B0,100.0,2,2,771992,11.78,1.392
5003,52,0,B0,100.0,2,3,771525,11.773,1.453
5004,20,0,B0,100.0,3,4,774913,11.824,1.27
5005,546,1,H1,97.0,4,4,778524,11.879,1.19
5006,194,2,H2,92.0,4,5,778862,11.884,1.115
5007,629,3,H3,85.0,5,5,781410,11.923,1.358
5008,882,4,H4,78.0,5,4,781223,11.921,1.191
5009,6,5,H5,65.0,4,5,779458,11.894,1.421
5010,1588,6,H6,50.0,5,4,783186,11.95,1.419
5011,267,7,H7,45.0,4,4,776993,11.856,1.238
5012,714,8,H8,35.0,4,4,779084,11.888,1.478
5013,318,9,H9,25.0,4,4,778360,11.877,1.141
5014,4894,10,H10,12.0,4,-3,780124,11.904,1.436
5015,609,0,B0,100.0,-3,-3,749839,11.442,1.42
5016,1818,0,B0,100.0,-3,-5,749781,11.441,1.314
5017,393,-1,E1,100.0,-5,-4,742688,11.333,1.253
5018,418,0,B0,100.0,-4,-4,743892,11.351,1.428
5019,375,0,B0,100.0,-4,-4,744943,11.367,1.441
5020,21,0,B0,100.0,-4,-3,746258,11.387,1.38
5021,188,0,B0,100.0,-3,-2,749640,11.439,1.194
5022,157,0,B0,100.0,-2,-1,752059,11.476,1.136
5023,198,0,B0,100.0,-1,-1,754659,11.515,1.144
5024,239,0,B0,100.0,-1,0,757037,11.551,1.353
5025,137,0,B0,100.0,0,1,759169,11.584,1.249
5026,1849,1,H1,97.0,1,-1,766197,11.691,1.209
5027,480,0,B0,100.0,-1,-1,754530,11.513,1.358
5028,780,0,B0,100.0,-1,-2,755237,11.524,1.172
5029,282,0,B0,100.0,-2,-1,754180,11.508,1.169
