height,dt,profile_index,profile_name,stability_pct,lag,bitsq,hashrate_kh
5000,13,0,B0,100.0,0,813588,1.492
5001,218,1,H1,97.0,1,864437,1.16
5002,718,1,H1,97.0,1,810410,1.58
5003,53,1,H1,97.0,2,861060,1.722
5004,23,1,H1,97.0,3,914876,1.294
5005,834,2,H2,92.0,2,857697,1.109
5006,238,1,H1,97.0,3,911303,0.934
5007,689,2,H2,92.0,3,854347,1.501
5008,1052,2,H2,92.0,2,800951,1.111
5009,3,1,H1,97.0,3,851010,1.647
5010,957,2,H2,92.0,3,797822,1.643
5011,182,2,H2,92.0,3,847685,1.22
5012,302,2,H2,92.0,4,900665,1.781
5013,134,2,H2,92.0,4,956956,0.994
5014,723,2,H2,92.0,4,897147,1.681
5015,1045,2,H2,92.0,4,841076,1.644
5016,3399,2,H2,92.0,-1,788509,1.398
5017,499,0,B0,100.0,-1,837790,1.254
5018,451,0,B0,100.0,-1,890151,1.665
5019,396,0,B0,100.0,0,945785,1.694
5020,23,0,B0,100.0,1,1004896,1.551
5021,307,1,H1,97.0,1,1067702,1.117
5022,271,1,H1,97.0,2,1134433,0.983
5023,326,1,H1,97.0,2,1205335,1.002
5024,306,1,H1,97.0,3,1280668,1.488
5025,247,2,H2,92.0,3,1360709,1.247
5026,3144,2,H2,92.0,-1,1275665,1.153
5027,488,0,B0,100.0,-1,1355394,1.5
5028,955,0,B0,100.0,-1,1270682,1.066
5029,351,0,B0,100.0,-1,1350099,1.059
5030,440,0,B0,100.0,-1,1434480,1.81
5031,635,0,B0,100.0,-1,1344825,1.417
5032,695,0,B0,100.0,-1,1260774,1.677
5033,22,0,B0,100.0,0,1339572,1.118
5034,261,1,H1,97.0,0,1423295,1.197
5035,2026,0,B0,100.0,-2,1334340,1.102
5036,172,0,B0,100.0,-1,1417736,1.707
5037,260,0,B0,100.0,-1,1506344,1.506
5038,274,0,B0,100.0,0,1600490,1.742
5039,191,0,B0,100.0,1,1700520,1.151
5040,215,1,H1,97.0,1,1806802,1.421
5041,1590,1,H1,97.0,0,1693877,1.442
5042,151,0,B0,100.0,0,1799744,1.273
5043,305,0,B0,100.0,1,1912228,1.818
5044,48,1,H1,97.0,2,2031742,0.993
5045,982,1,H1,97.0,1,1904759,1.01
5046,338,1,H1,97.0,2,2023806,1.631
5047,499,1,H1,97.0,2,2150293,0.968
5048,416,1,H1,97.0,2,2284686,1.816
5049,1104,1,H1,97.0,1,2141894,1.794
5050,1392,1,H1,97.0,0,2008026,0.92
5051,392,0,B0,100.0,0,2133527,1.53
5052,693,0,B0,100.0,0,2000182,1.153
5053,439,0,B0,100.0,0,2125193,1.012
5054,1813,0,B0,100.0,-2,1992369,1.323
5055,139,0,B0,100.0,-1,2116892,1.707
5056,112,0,B0,100.0,0,2249197,1.366
5057,1180,1,H1,97.0,-1,2108623,1.74
5058,672,0,B0,100.0,-1,1976835,1.182
5059,88,0,B0,100.0,0,2100387,1.464
5060,485,1,H1,97.0,0,2231661,1.604
5061,364,0,B0,100.0,0,2371139,1.619
5062,335,0,B0,100.0,1,2519335,0.911
5063,2867,1,H1,97.0,-3,2361877,0.928
5064,812,0,B0,100.0,-3,2214260,1.71
5065,31,-1,E1,100.0,-2,2352651,1.19
5066,1340,0,B0,100.0,-4,2205611,1.709
5067,420,-1,E1,100.0,-3,2343461,0.988
5068,916,-1,E1,100.0,-4,2196995,0.973
5069,53,-1,E1,100.0,-3,2334307,1.607
5070,370,-1,E1,100.0,-3,2480201,1.343
5071,1116,-1,E1,100.0,-4,2325189,1.151
5072,114,-1,E1,100.0,-3,2470513,1.295
5073,583,-1,E1,100.0,-3,2624920,1.401
5074,213,-1,E1,100.0,-2,2788977,1.093
5075,450,0,B0,100.0,-2,2963288,1.816
5076,434,0,B0,100.0,-1,3148493,1.309
5077,194,0,B0,100.0,-1,3345273,1.02
5078,568,0,B0,100.0,-1,3554352,1.218
5079,173,0,B0,100.0,0,3776499,1.119
5080,798,0,B0,100.0,0,3540468,0.975
5081,1644,0,B0,100.0,-2,3319189,1.118
5082,33,0,B0,100.0,-1,3526638,1.692
5083,765,0,B0,100.0,-1,3306224,1.127
5084,100,0,B0,100.0,-1,3512863,1.105
5085,374,0,B0,100.0,0,3732416,1.761
5086,893,0,B0,100.0,-1,3499140,1.34
5087,100,0,B0,100.0,0,3717836,1.645
5088,567,1,H1,97.0,0,3950200,0.998
5089,378,0,B0,100.0,1,4197087,1.295
5090,714,1,H1,97.0,0,3934770,1.573
5091,44,0,B0,100.0,1,4180693,1.806
5092,326,1,H1,97.0,2,4441986,1.276
5093,169,1,H1,97.0,2,4719610,1.694
5094,552,1,H1,97.0,3,5014585,1.083
5095,331,2,H2,92.0,3,5327996,1.294
5096,2966,2,H2,92.0,-1,4994997,1.137
5097,1173,0,B0,100.0,-2,4682810,1.313
5098,28,0,B0,100.0,-1,4975485,1.411
5099,775,0,B0,100.0,-1,4664518,1.819
5100,1135,0,B0,100.0,-2,4372986,1.792
5101,84,0,B0,100.0,-1,4646297,1.682
5102,138,0,B0,100.0,-1,4936690,1.352
5103,36,0,B0,100.0,0,5245233,1.275
5104,3380,1,H1,97.0,-4,4917406,1.255
5105,1038,0,B0,100.0,-5,4610069,1.151
5106,259,-1,E1,100.0,-4,4898198,1.324
5107,1887,-1,E1,100.0,-7,4592061,1.781
5108,453,-2,E2,100.0,-6,4879064,1.416
5109,169,-2,E2,100.0,-6,5184005,1.051
5110,244,-2,E2,100.0,-5,5508005,1.792
5111,497,-2,E2,100.0,-5,5852255,1.403
5112,462,-2,E2,100.0,-5,6218020,0.962
5113,710,-2,E2,100.0,-5,5829394,1.368
5114,1558,-2,E2,100.0,-6,5465057,1.053
5115,106,-2,E2,100.0,-6,5806623,0.983
5116,392,-2,E2,100.0,-5,6169536,1.451
5117,57,-2,E2,100.0,-4,6555132,1.124
5118,102,-1,E1,100.0,-3,6964827,1.72
5119,415,-1,E1,100.0,-3,7400128,1.451
5120,423,-1,E1,100.0,-3,7862636,1.291
5121,1228,-1,E1,100.0,-4,7371222,1.386
5122,717,-1,E1,100.0,-4,6910521,1.096
5123,278,-1,E1,100.0,-4,7342428,1.127
5124,146,-1,E1,100.0,-3,7801329,1.521
5125,726,-1,E1,100.0,-3,7313746,1.198
5126,391,-1,E1,100.0,-3,7770855,0.976
5127,1902,-1,E1,100.0,-5,7285177,1.819
5128,124,-2,E2,100.0,-4,7740500,0.977
5129,1467,-1,E1,100.0,-5,7256719,1.151
5130,626,-2,E2,100.0,-6,6803175,1.712
5131,69,-2,E2,100.0,-5,7228373,1.246
5132,454,-1,E1,100.0,-4,7680146,1.669
5133,1855,-1,E1,100.0,-6,7200137,1.467
5134,2,-2,E2,100.0,-5,7650145,1.505
5135,134,-1,E1,100.0,-5,8128279,1.654
5136,1152,-1,E1,100.0,-6,7620262,1.514
5137,60,-2,E2,100.0,-5,8096528,1.032
5138,499,-1,E1,100.0,-5,8602561,1.007
5139,406,-2,E2,100.0,-4,9140221,1.158
5140,90,-1,E1,100.0,-3,9711484,1.563
5141,128,-1,E1,100.0,-3,10318451,1.487
5142,1085,-1,E1,100.0,-3,9673548,1.355
5143,35,-1,E1,100.0,-2,10278144,1.68
5144,195,0,B0,100.0,-2,10920528,1.295
5145,1259,0,B0,100.0,-3,10237995,0.913
5146,127,-1,E1,100.0,-2,10877869,1.49
5147,394,0,B0,100.0,-2,11557735,1.585
5148,5,0,B0,100.0,-1,12280093,1.299
5149,1711,0,B0,100.0,-3,11512588,0.978
5150,284,-1,E1,100.0,-2,12232124,1.733
5151,408,0,B0,100.0,-2,12996631,1.669
5152,101,0,B0,100.0,-1,13808920,1.045
5153,1501,0,B0,100.0,-2,12945863,1.191
5154,940,0,B0,100.0,-3,12136747,1.634
5155,85,-1,E1,100.0,-2,12895293,1.728
5156,74,0,B0,100.0,-1,13701248,1.137
5157,1037,0,B0,100.0,-2,12844920,1.62
5158,590,0,B0,100.0,-2,13647727,1.28
5159,1972,0,B0,100.0,-4,12794745,1.051
5160,1374,-1,E1,100.0,-6,11995074,1.697
5161,656,-2,E2,100.0,-6,11245382,1.648
5162,725,-2,E2,100.0,-6,10542546,0.933
5163,1117,-2,E2,100.0,-7,9883637,1.212
5164,616,-2,E2,100.0,-7,9265910,1.64
5165,95,-2,E2,100.0,-6,9845029,1.648
5166,35,-2,E2,100.0,-5,10460343,1.627
5167,716,-1,E1,100.0,-5,9806572,1.704
5168,772,-2,E2,100.0,-5,9193662,1.112
5169,138,-2,E2,100.0,-5,9768265,1.329
5170,98,-1,E1,100.0,-4,10378781,1.634
5171,143,-1,E1,100.0,-3,11027454,0.932
5172,1031,-1,E1,100.0,-4,10338239,1.209
5173,114,-1,E1,100.0,-3,10984378,1.79
5174,213,-1,E1,100.0,-2,11670901,1.494
5175,332,0,B0,100.0,-2,12400332,1.803
5176,54,0,B0,100.0,-1,13175352,1.765
5177,85,0,B0,100.0,0,13998811,1.793
5178,173,1,H1,97.0,1,14873736,1.786
5179,568,1,H1,97.0,1,15803344,1.009
5180,240,1,H1,97.0,1,16711680,1.573
5181,492,1,H1,97.0,1,16711680,1.462
5182,685,1,H1,97.0,1,15667200,1.261
5183,1086,1,H1,97.0,0,14688000,1.142
5184,2223,0,B0,100.0,-2,13770000,0.912
5185,708,0,B0,100.0,-2,12909375,1.4
5186,546,0,B0,100.0,-2,13716210,1.585
5187,45,0,B0,100.0,-1,14573473,1.241
5188,206,0,B0,100.0,-1,15484315,1.514
5189,1229,0,B0,100.0,-2,14516546,1.196
5190,177,0,B0,100.0,-1,15423830,1.565
5191,343,0,B0,100.0,-1,16387819,1.191
5192,214,0,B0,100.0,0,16711680,1.276
5193,414,0,B0,100.0,0,16711680,1.026
5194,499,0,B0,100.0,0,16711680,1.766
5195,430,0,B0,100.0,1,16711680,1.732
5196,674,1,H1,97.0,1,15667200,1.184
5197,373,1,H1,97.0,1,16646400,0.91
5198,670,1,H1,97.0,1,15606000,1.301
5199,417,1,H1,97.0,1,16581375,1.506
5200,184,1,H1,97.0,2,16711680,1.312
5201,1735,1,H1,97.0,0,15667200,1.341
5202,88,0,B0,100.0,1,16646400,1.634
5203,737,1,H1,97.0,1,15606000,0.987
5204,276,1,H1,97.0,1,16581375,1.486
5205,844,1,H1,97.0,1,15545040,1.655
5206,168,1,H1,97.0,1,16516605,1.522
5207,22,1,H1,97.0,2,16711680,1.091
5208,571,1,H1,97.0,2,16711680,1.133
5209,45,1,H1,97.0,3,16711680,1.683
5210,1014,2,H2,92.0,3,15667200,1.287
5211,1441,2,H2,92.0,1,14688000,1.087
5212,206,1,H1,97.0,2,15606000,1.36
5213,3,1,H1,97.0,3,16581375,1.507
5214,1212,2,H2,92.0,2,15545040,1.593
5215,552,1,H1,97.0,2,16516605,1.007
5216,2977,1,H1,97.0,-2,15484318,1.07
5217,29,0,B0,100.0,-1,16452087,1.381
5218,1294,0,B0,100.0,-2,15423832,1.137
5219,951,0,B0,100.0,-3,14459843,1.325
5220,1815,-1,E1,100.0,-5,13556103,1.517
5221,1046,-2,E2,100.0,-5,12708847,1.452
5222,279,-2,E2,100.0,-5,13503149,1.721
5223,227,-2,E2,100.0,-4,14347095,1.565
5224,297,-1,E1,100.0,-4,15243788,1.666
5225,491,-1,E1,100.0,-4,16196524,1.726
5226,139,-1,E1,100.0,-3,16711680,1.342
5227,558,-1,E1,100.0,-3,16711680,1.135
5228,286,-1,E1,100.0,-2,16711680,1.607
5229,169,0,B0,100.0,-2,16711680,1.48
5230,267,0,B0,100.0,-1,16711680,0.981
5231,259,0,B0,100.0,0,16711680,1.157
5232,82,0,B0,100.0,0,16711680,1.402
5233,1062,1,H1,97.0,0,15667200,1.12
5234,33,0,B0,100.0,1,16646400,1.553
5235,613,1,H1,97.0,1,15606000,1.281
5236,180,1,H1,97.0,1,16581375,1.288
5237,1829,1,H1,97.0,-1,15545040,1.292
5238,643,0,B0,100.0,-1,14573475,1.442
5239,669,0,B0,100.0,-1,13662633,1.69
5240,3,0,B0,100.0,0,14516547,1.256
5241,1144,1,H1,97.0,-1,13609263,1.23
5242,1418,0,B0,100.0,-2,12758685,1.687
5243,831,0,B0,100.0,-3,11961268,1.291
5244,409,-1,E1,100.0,-2,12708847,1.407
5245,173,0,B0,100.0,-2,13503149,1.111
5246,17,0,B0,100.0,-1,14347095,1.307
5247,729,0,B0,100.0,-1,13450402,1.216
5248,110,0,B0,100.0,0,14291052,1.278
5249,102,1,H1,97.0,1,15184242,1.335
5250,18,1,H1,97.0,2,16133257,1.476
5251,658,1,H1,97.0,2,15124929,1.269
5252,1106,1,H1,97.0,1,14179621,0.935
5253,602,1,H1,97.0,1,13293395,1.033
5254,501,1,H1,97.0,1,14124232,0.956
5255,360,1,H1,97.0,1,15006996,1.103
5256,298,1,H1,97.0,2,15944933,1.603
5257,1124,1,H1,97.0,1,14948375,1.594
5258,75,1,H1,97.0,2,15882648,1.14
5259,840,1,H1,97.0,2,14889983,0.928
5260,237,1,H1,97.0,2,15820606,1.82
5261,1017,1,H1,97.0,1,14831819,1.502
5262,938,1,H1,97.0,1,13904831,1.503
5263,125,1,H1,97.0,2,14773882,1.774
5264,178,1,H1,97.0,2,15697249,0.929
5265,1085,1,H1,97.0,2,14716171,1.025
5266,173,1,H1,97.0,2,15635931,1.423
5267,946,1,H1,97.0,2,14658686,1.547
5268,883,1,H1,97.0,1,13742519,1.063
5269,76,1,H1,97.0,2,14601426,1.591
5270,2030,1,H1,97.0,0,13688837,1.656
5271,20,0,B0,100.0,1,14544389,1.008
5272,952,1,H1,97.0,0,13635365,1.194
5273,221,0,B0,100.0,1,14487575,1.782
5274,50,1,H1,97.0,2,15393048,1.561
5275,644,1,H1,97.0,2,14430983,1.538
5276,1484,1,H1,97.0,0,13529047,1.003
5277,424,0,B0,100.0,0,14374612,1.684
5278,3154,0,B0,100.0,-4,13476199,1.02
5279,164,-1,E1,100.0,-3,14318461,1.622
5280,222,-1,E1,100.0,-3,15213364,1.3
5281,190,-1,E1,100.0,-2,16164199,1.37
5282,800,0,B0,100.0,-2,15153937,1.683
5283,2511,0,B0,100.0,-5,14206816,1.006
5284,739,-1,E1,100.0,-6,13318890,1.488
5285,186,-2,E2,100.0,-5,14151320,1.554
5286,1081,-2,E2,100.0,-6,13266863,1.578
5287,724,-2,E2,100.0,-6,12437685,1.156
5288,239,-2,E2,100.0,-5,13215040,1.4
5289,509,-2,E2,100.0,-5,14040980,1.306
5290,838,-2,E2,100.0,-6,13163419,1.154
5291,27,-2,E2,100.0,-5,13986132,1.666
5292,101,-1,E1,100.0,-4,14860265,1.712
5293,441,-1,E1,100.0,-4,15789031,1.333
5294,14,-1,E1,100.0,-3,16711680,1.255
5295,74,-1,E1,100.0,-2,16711680,1.684
5296,1130,0,B0,100.0,-3,15667200,1.103
5297,1086,-1,E1,100.0,-3,14688000,1.22
5298,130,-1,E1,100.0,-3,15606000,1.548
5299,2007,-1,E1,100.0,-5,14630625,0.919
5300,653,-2,E2,100.0,-5,13716211,0.988
5301,531,-2,E2,100.0,-5,14573474,1.355
5302,342,-2,E2,100.0,-4,15484316,1.538
5303,724,-1,E1,100.0,-5,14516547,1.357
5304,127,-2,E2,100.0,-4,15423831,0.995
5305,148,-1,E1,100.0,-3,16387820,1.54
5306,277,-1,E1,100.0,-3,16711680,1.439
5307,248,-1,E1,100.0,-2,16711680,1.393
5308,197,0,B0,100.0,-1,16711680,1.589
5309,159,0,B0,100.0,-1,16711680,1.55
5310,88,0,B0,100.0,0,16711680,1.139
5311,117,1,H1,97.0,1,16711680,1.085
5312,1032,1,H1,97.0,0,15667200,1.398
5313,176,0,B0,100.0,1,16646400,1.078
5314,959,1,H1,97.0,0,15606000,1.351
5315,322,0,B0,100.0,1,16581375,1.799
5316,91,1,H1,97.0,2,16711680,1.168
5317,238,1,H1,97.0,2,16711680,1.087
5318,13,1,H1,97.0,3,16711680,1.073
5319,301,2,H2,92.0,4,16711680,1.396
5320,589,2,H2,92.0,4,16711680,1.797
5321,114,2,H2,92.0,5,16711680,1.545
5322,728,3,H3,85.0,4,15667200,1.7
5323,658,2,H2,92.0,4,14688000,1.704
5324,570,2,H2,92.0,4,15606000,1.337
5325,64,2,H2,92.0,5,16581375,1.078
5326,674,3,H3,85.0,5,15545040,1.766
5327,405,2,H2,92.0,6,16516605,1.658
5328,1864,3,H3,85.0,3,15484318,0.977
5329,221,2,H2,92.0,4,16452087,0.959
5330,334,2,H2,92.0,4,16711680,1.422
5331,91,2,H2,92.0,5,16711680,1.814
5332,1065,3,H3,85.0,5,15667200,1.606
5333,206,2,H2,92.0,5,16646400,1.63
5334,567,2,H2,92.0,5,16711680,1.386
5335,1969,2,H2,92.0,3,15667200,1.313
5336,264,2,H2,92.0,4,16646400,1.811
5337,837,2,H2,92.0,3,15606000,1.475
5338,2447,2,H2,92.0,0,14630625,1.583
5339,216,1,H1,97.0,1,15545039,1.099
5340,113,1,H1,97.0,2,16516603,1.511
5341,73,1,H1,97.0,2,16711680,1.068
5342,659,1,H1,97.0,2,15667200,0.912
5343,238,1,H1,97.0,3,16646400,1.45
5344,1439,2,H2,92.0,2,15606000,1.121
5345,392,1,H1,97.0,2,16581375,1.55
5346,1686,1,H1,97.0,0,15545040,1.536
5347,470,0,B0,100.0,0,16516605,1.627
5348,1399,0,B0,100.0,-1,15484318,1.512
5349,473,0,B0,100.0,-1,16452087,1.297
5350,1243,0,B0,100.0,-2,15423832,1.499
5351,34,0,B0,100.0,-1,16387821,1.662
5352,270,0,B0,100.0,0,16711680,1.061
5353,412,0,B0,100.0,0,16711680,1.592
5354,88,0,B0,100.0,1,16711680,1.173
5355,786,1,H1,97.0,0,15667200,1.537
5356,306,0,B0,100.0,1,16646400,1.768
5357,62,1,H1,97.0,2,16711680,1.359
5358,600,1,H1,97.0,2,16711680,0.946
5359,240,1,H1,97.0,2,16711680,1.203
5360,3307,1,H1,97.0,-2,15667200,0.993
5361,399,0,B0,100.0,-2,16646400,1.671
5362,3408,0,B0,100.0,-6,15606000,1.775
5363,128,-1,E1,100.0,-6,16581375,1.522
5364,756,-2,E2,100.0,-6,15545040,0.947
5365,399,-2,E2,100.0,-6,16516605,1.338
5366,58,-2,E2,100.0,-5,16711680,1.744
5367,435,-1,E1,100.0,-4,16711680,1.443
5368,43,-1,E1,100.0,-3,16711680,1.357
5369,206,-1,E1,100.0,-3,16711680,1.227
5370,800,-1,E1,100.0,-3,15667200,1.52
5371,610,-1,E1,100.0,-3,14688000,1.21
5372,1545,-1,E1,100.0,-5,13770000,1.172
5373,245,-2,E2,100.0,-4,14630625,1.65
5374,177,-1,E1,100.0,-3,15545039,1.324
5375,1820,-1,E1,100.0,-5,14573475,1.204
5376,286,-2,E2,100.0,-5,15484317,1.278
5377,300,-2,E2,100.0,-4,16452086,1.809
5378,236,-1,E1,100.0,-4,16711680,1.404
5379,259,-1,E1,100.0,-3,16711680,1.081
5380,383,-1,E1,100.0,-3,16711680,1.598
5381,88,-1,E1,100.0,-2,16711680,1.602
5382,1453,0,B0,100.0,-3,15667200,1.41
5383,571,-1,E1,100.0,-3,16646400,1.309
5384,2211,-1,E1,100.0,-6,15606000,1.02
5385,94,-2,E2,100.0,-5,16581375,1.464
5386,473,-1,E1,100.0,-5,16711680,1.054
5387,35,-2,E2,100.0,-4,16711680,1.413
5388,840,-1,E1,100.0,-5,15667200,1.813
5389,47,-2,E2,100.0,-4,16646400,1.33
5390,258,-1,E1,100.0,-3,16711680,1.667
5391,284,-1,E1,100.0,-3,16711680,1.562
